id,func_name,input_text,target_text
596,notifyAll,Summarize Python: def notifyAll(self):,Wake up all threads waiting on this condition.
597,acquire,"Summarize Python: def acquire(self, blocking=True, timeout=None):","Acquire a semaphore, decrementing the internal counter by one."
598,release,"Summarize Python: def release(self, n=1):","Release a semaphore, incrementing the internal counter by one or more."
599,is_set,Summarize Python: def is_set(self):,Return true if and only if the internal flag is true.
600,isSet,Summarize Python: def isSet(self):,Return true if and only if the internal flag is true.
601,set,Summarize Python: def set(self):,Set the internal flag to true.
602,clear,Summarize Python: def clear(self):,Reset the internal flag to false.
603,wait,"Summarize Python: def wait(self, timeout=None):",Block until the internal flag is true.
604,wait,"Summarize Python: def wait(self, timeout=None):",Wait for the barrier.
605,reset,Summarize Python: def reset(self):,Reset the barrier to the initial state.
606,abort,Summarize Python: def abort(self):,Place the barrier into a 'broken' state.
607,parties,Summarize Python: @property:,Return the number of threads required to trip the barrier.
608,n_waiting,Summarize Python: @property:,Return the number of threads currently waiting at the barrier.
609,broken,Summarize Python: @property:,Return True if the barrier is in a broken state.
610,start,Summarize Python: def start(self):,Start the thread's activity.
611,run,Summarize Python: def run(self):,Method representing the thread's activity.
612,join,"Summarize Python: def join(self, timeout=None):",Wait until the thread terminates.
613,name,Summarize Python: @property:,A string used for identification purposes only.
614,ident,Summarize Python: @property:,Thread identifier of this thread or None if it has not been started.
615,is_alive,Summarize Python: def is_alive(self):,Return whether the thread is alive.
616,daemon,Summarize Python: @property:,A boolean value indicating whether this thread is a daemon thread.
617,isDaemon,Summarize Python: def isDaemon(self):,Return whether this thread is a daemon.
618,setDaemon,"Summarize Python: def setDaemon(self, daemonic):",Set whether this thread is a daemon.
619,getName,Summarize Python: def getName(self):,Return a string used for identification purposes only.
620,setName,"Summarize Python: def setName(self, name):",Set the name string for this thread.
621,cancel,Summarize Python: def cancel(self):,Stop the timer if it hasn't finished yet.
622,native_id,Summarize Python: @property:,"Native integral thread ID of this thread, or None if it has not been started."
623,excepthook,"Summarize Python: def excepthook(args, /):",Handle uncaught Thread.run() exception.
624,raise_conversion_error,Summarize Python: def raise_conversion_error(function):,Wrap any raised struct.errors in a ConversionError.
625,format_string,"Summarize Python: def format_string(f, val, grouping=False, monetary=False):","Formats a string in the same way that the % formatting would use, but takes the current locale into account."
626,currency,"Summarize Python: def currency(val, symbol=True, grouping=False, international=False):",Formats val according to the currency settings in the current locale.
627,str,Summarize Python: def str(val):,"Convert float to string, taking the locale into account."
628,delocalize,Summarize Python: def delocalize(string):,Parses a string as a normalized number according to the locale settings.
629,localize,"Summarize Python: def localize(string, grouping=False, monetary=False):",Parses a string as locale number according to the locale settings.
630,atof,"Summarize Python: def atof(string, func=float):",Parses a string as a float according to the locale settings.
631,atoi,Summarize Python: def atoi(string):,Converts a string to an integer according to the locale settings.
632,normalize,Summarize Python: def normalize(localename):,Returns a normalized locale code for the given locale name.
633,getdefaultlocale,"Summarize Python: def getdefaultlocale(envvars=('LC_ALL', 'LC_CTYPE', 'LANG', 'LANGUAGE')):","Tries to determine the default locale settings and returns them as tuple (language code, encoding)."
634,getlocale,Summarize Python: def getlocale(category=LC_CTYPE):,"Returns the current setting for the given locale category as tuple (language code, encoding)."
635,setlocale,"Summarize Python: def setlocale(category, locale=None):","Set the locale for the given category.  The locale can be a string, an iterable of two strings (language code and encoding), or None."
636,resetlocale,Summarize Python: def resetlocale(category=LC_ALL):,Sets the locale for category to the default setting.
637,getpreferredencoding,Summarize Python: def getpreferredencoding(do_setlocale=True):,"Return the charset that the user is likely using, according to the system configuration."
638,localeconv,Summarize Python: def localeconv():,localeconv() -> dict. Returns numeric and monetary locale-specific parameters.
639,setlocale,"Summarize Python: def setlocale(category, value=None):","setlocale(integer,string=None) -> string. Activates/queries locale processing."
640,getpreferredencoding,Summarize Python: def getpreferredencoding(do_setlocale=True):,Return the charset that the user is likely using.
641,splitdrive,Summarize Python: def splitdrive(p):,"Split a pathname into drive/UNC sharepoint and relative path specifiers. Returns a 2-tuple (drive_or_unc, path); either part may be empty."
642,splitroot,Summarize Python: def splitroot(p):,"Split a pathname into drive, root and tail."
643,split,Summarize Python: def split(p):,Split a pathname.
644,ismount,Summarize Python: def ismount(path):,"Test whether a path is a mount point (a drive root, the root of a share, or a mounted volume)."
645,expanduser,Summarize Python: def expanduser(path):,Expand ~ and ~user constructs.
646,expandvars,Summarize Python: def expandvars(path):,"Expand shell variables of the forms $var, ${var} and %var%."
647,normcase,Summarize Python: def normcase(s):,Normalize case of pathname.
648,isjunction,Summarize Python: def isjunction(path):,Test whether a path is a junction.
649,abspath,Summarize Python: def abspath(path):,Return the absolute version of a path.
650,isdevdrive,Summarize Python: def isdevdrive(path):,Determines whether the specified path is on a Windows Dev Drive.
651,walk_packages,"Summarize Python: def walk_packages(path=None, prefix='', onerror=None):","Yields ModuleInfo for all modules recursively on path, or, if path is None, all accessible modules."
652,iter_modules,"Summarize Python: def iter_modules(path=None, prefix=''):","Yields ModuleInfo for all submodules on path, or, if path is None, all top-level modules on sys.path."
653,get_importer,Summarize Python: def get_importer(path_item):,Retrieve a finder for the given path item.
654,iter_importers,Summarize Python: def iter_importers(fullname=''):,Yield finders for the given module name.
655,get_loader,Summarize Python: def get_loader(module_or_name):,"Get a ""loader"" object for module_or_name."
656,find_loader,Summarize Python: def find_loader(fullname):,"Find a ""loader"" object for fullname."
657,extend_path,"Summarize Python: def extend_path(path, name):",Extend a package's path.
658,get_data,"Summarize Python: def get_data(package, resource):",Get a resource from a package.
659,resolve_name,Summarize Python: def resolve_name(name):,Resolve a name to an object.
660,cfmakeraw,Summarize Python: def cfmakeraw(mode):,Make termios mode raw.
661,cfmakecbreak,Summarize Python: def cfmakecbreak(mode):,Make termios mode cbreak.
662,setraw,"Summarize Python: def setraw(fd, when=TCSAFLUSH):",Put terminal into raw mode.
663,setcbreak,"Summarize Python: def setcbreak(fd, when=TCSAFLUSH):",Put terminal into cbreak mode.
664,geohash,"Summarize Python: def geohash(latitude, longitude, datedow):",Compute geohash() using the Munroe algorithm.
665,abs_paths,Summarize Python: def abs_paths():,Set all module __file__ and __cached__ attributes to an absolute path.
666,removeduppaths,Summarize Python: def removeduppaths():,Remove duplicate entries from sys.path along with making them absolute.
667,addpackage,"Summarize Python: def addpackage(sitedir, name, known_paths):","Process a .pth file within the site-packages directory: For each line in the file, either combine it with sitedir to a path and add that to known_paths, or execute it if it starts with 'import '."
668,addsitedir,"Summarize Python: def addsitedir(sitedir, known_paths=None):",Add 'sitedir' argument to sys.path if missing and handle .pth files in 'sitedir'.
669,check_enableusersite,Summarize Python: def check_enableusersite():,Check if user site directory is safe for inclusion.
670,getuserbase,Summarize Python: def getuserbase():,Returns the `user base` directory path.
671,getusersitepackages,Summarize Python: def getusersitepackages():,Returns the user-specific site-packages directory path.
672,addusersitepackages,Summarize Python: def addusersitepackages(known_paths):,Add a per user site-package to sys.path.
673,getsitepackages,Summarize Python: def getsitepackages(prefixes=None):,Returns a list containing all global site-packages directories.
674,addsitepackages,"Summarize Python: def addsitepackages(known_paths, prefixes=None):",Add site-packages to sys.path.
675,setquit,Summarize Python: def setquit():,Define new builtins 'quit' and 'exit'.
676,setcopyright,Summarize Python: def setcopyright():,Set 'copyright' and 'credits' in builtins.
677,enablerlcompleter,Summarize Python: def enablerlcompleter():,"Enable default readline configuration on interactive prompts, by registering a sys.__interactivehook__."
678,execsitecustomize,Summarize Python: def execsitecustomize():,"Run custom site specific code, if available."
679,execusercustomize,Summarize Python: def execusercustomize():,"Run custom user specific code, if available."
680,main,Summarize Python: def main():,Add standard site-specific directories to the module search path.
681,test,Summarize Python: def test():,Test program for telnetlib.
682,open,"Summarize Python: def open(self, host, port=0, timeout=socket._GLOBAL_DEFAULT_TIMEOUT):",Connect to a host.
683,msg,"Summarize Python: def msg(self, msg, *args):","Print a debug message, when the debug level is > 0."
684,set_debuglevel,"Summarize Python: def set_debuglevel(self, debuglevel):",Set the debug level.
685,close,Summarize Python: def close(self):,Close the connection.
686,get_socket,Summarize Python: def get_socket(self):,Return the socket object used internally.
687,fileno,Summarize Python: def fileno(self):,Return the fileno() of the socket object used internally.
688,write,"Summarize Python: def write(self, buffer):","Write a string to the socket, doubling any IAC characters."
689,read_until,"Summarize Python: def read_until(self, match, timeout=None):",Read until a given string is encountered or until timeout.
690,read_all,Summarize Python: def read_all(self):,Read all data until EOF; block until connection closed.
691,read_some,Summarize Python: def read_some(self):,Read at least one byte of cooked data unless EOF is hit.
692,read_very_eager,Summarize Python: def read_very_eager(self):,Read everything that's possible without blocking in I/O (eager).
693,read_eager,Summarize Python: def read_eager(self):,Read readily available data.
694,read_lazy,Summarize Python: def read_lazy(self):,Process and return data that's already in the queues (lazy).
695,read_very_lazy,Summarize Python: def read_very_lazy(self):,Return any data available in the cooked queue (very lazy).
696,read_sb_data,Summarize Python: def read_sb_data(self):,Return any data available in the SB ... SE queue.
697,set_option_negotiation_callback,"Summarize Python: def set_option_negotiation_callback(self, callback):",Provide a callback function called after each receipt of a telnet option.
698,process_rawq,Summarize Python: def process_rawq(self):,Transfer from raw queue to cooked queue.
699,rawq_getchar,Summarize Python: def rawq_getchar(self):,Get next char from raw queue.
700,fill_rawq,Summarize Python: def fill_rawq(self):,Fill raw queue from exactly one recv() system call.
701,sock_avail,Summarize Python: def sock_avail(self):,Test whether data is available on the socket.
702,interact,Summarize Python: def interact(self):,"Interaction function, emulates a very dumb telnet client."
703,mt_interact,Summarize Python: def mt_interact(self):,Multithreaded version of interact().
704,listener,Summarize Python: def listener(self):,Helper for mt_interact() -- this executes in the other thread.
705,expect,"Summarize Python: def expect(self, list, timeout=None):",Read until one from a list of a regular expressions matches.
706,insort_right,"Summarize Python: def insort_right(a, x, lo=0, hi=None, *, key=None):","Insert item x in list a, and keep it sorted assuming a is sorted."
707,bisect_right,"Summarize Python: def bisect_right(a, x, lo=0, hi=None, *, key=None):","Return the index where to insert item x in list a, assuming a is sorted."
708,insort_left,"Summarize Python: def insort_left(a, x, lo=0, hi=None, *, key=None):","Insert item x in list a, and keep it sorted assuming a is sorted."
709,bisect_left,"Summarize Python: def bisect_left(a, x, lo=0, hi=None, *, key=None):","Return the index where to insert item x in list a, assuming a is sorted."
710,unix_getpass,"Summarize Python: def unix_getpass(prompt='Password: ', stream=None):","Prompt for a password, with echo turned off."
711,win_getpass,"Summarize Python: def win_getpass(prompt='Password: ', stream=None):","Prompt for password with echo off, using Windows getwch()."
712,getuser,Summarize Python: def getuser():,Get the username from the environment or password database.
713,heappush,"Summarize Python: def heappush(heap, item):","Push item onto heap, maintaining the heap invariant."
714,heappop,Summarize Python: def heappop(heap):,"Pop the smallest item off the heap, maintaining the heap invariant."
715,heapreplace,"Summarize Python: def heapreplace(heap, item):","Pop and return the current smallest value, and add the new item."
716,heappushpop,"Summarize Python: def heappushpop(heap, item):",Fast version of a heappush followed by a heappop.
717,heapify,Summarize Python: def heapify(x):,"Transform list into a heap, in-place, in O(len(x)) time."
718,merge,"Summarize Python: def merge(*iterables, key=None, reverse=False):",Merge multiple sorted inputs into a single sorted output.
719,nsmallest,"Summarize Python: def nsmallest(n, iterable, key=None):",Find the n smallest elements in a dataset.
720,nlargest,"Summarize Python: def nlargest(n, iterable, key=None):",Find the n largest elements in a dataset.
721,add_func_stats,"Summarize Python: def add_func_stats(target, source):",Add together all the stats for two profile entries.
722,add_callers,"Summarize Python: def add_callers(target, source):",Combine two caller lists in a single list.
723,count_calls,Summarize Python: def count_calls(callers):,Sum the caller statistics to get total number of calls received.
724,dump_stats,"Summarize Python: def dump_stats(self, filename):",Write the profile data to a file we know how to load back.
725,get_sort_arg_defs,Summarize Python: def get_sort_arg_defs(self):,Expand all abbreviations that are unique.
726,get_stats_profile,Summarize Python: def get_stats_profile(self):,"This method returns an instance of StatsProfile, which contains a mapping of function names to instances of FunctionProfile."
727,load,"Summarize Python: def load(fp, *, fmt=None, dict_type=dict):",Read a .plist file. 'fp' should be a readable and binary file object. Return the unpacked root object (which usually is a dictionary).
728,loads,"Summarize Python: def loads(value, *, fmt=None, dict_type=dict):",Read a .plist file from a bytes object. Return the unpacked root object (which usually is a dictionary).
729,dump,"Summarize Python: def dump(value, fp, *, fmt=FMT_XML, sort_keys=True, skipkeys=False):","Write 'value' to a .plist file. 'fp' should be a writable, binary file object."
730,dumps,"Summarize Python: def dumps(value, *, fmt=FMT_XML, skipkeys=False, sort_keys=True):",Return a bytes object with the contents for a .plist file.
731,initlog,Summarize Python: def initlog(*allargs):,"Write a log message, if there is a log file."
732,dolog,"Summarize Python: def dolog(fmt, *args):",Write a log message to the log file.  See initlog() for docs.
733,nolog,Summarize Python: def nolog(*allargs):,"Dummy function, assigned to log when logging is disabled."
734,closelog,Summarize Python: def closelog():,Close the log file.
735,parse,"Summarize Python: def parse(fp=None, environ=os.environ, keep_blank_values=0, strict_parsing=0, separator='&'):",Parse a query in the environment or from a file (default stdin).
736,parse_multipart,"Summarize Python: def parse_multipart(fp, pdict, encoding='utf-8', errors='replace', separator='&'):",Parse multipart input.
737,parse_header,Summarize Python: def parse_header(line):,Parse a Content-type like header.
738,test,Summarize Python: def test(environ=os.environ):,"Robust test CGI script, usable as main program."
739,print_environ,Summarize Python: def print_environ(environ=os.environ):,Dump the shell environment as HTML.
740,print_form,Summarize Python: def print_form(form):,Dump the contents of a form as HTML.
741,print_directory,Summarize Python: def print_directory():,Dump the current directory as HTML.
742,print_environ_usage,Summarize Python: def print_environ_usage():,Dump a list of environment variables used by CGI as HTML.
743,getvalue,"Summarize Python: def getvalue(self, key, default=None):","Dictionary style get() method, including 'value' lookup."
744,getfirst,"Summarize Python: def getfirst(self, key, default=None):",Return the first value received.
745,getlist,"Summarize Python: def getlist(self, key):",Return list of received values.
746,keys,Summarize Python: def keys(self):,Dictionary style keys() method.
747,read_urlencoded,Summarize Python: def read_urlencoded(self):,Internal: read data in query string format.
748,read_multi,"Summarize Python: def read_multi(self, environ, keep_blank_values, strict_parsing):",Internal: read a part that is itself multipart.
749,read_single,Summarize Python: def read_single(self):,Internal: read an atomic part.
750,read_binary,Summarize Python: def read_binary(self):,Internal: read binary data.
751,read_lines,Summarize Python: def read_lines(self):,Internal: read lines until EOF or outerboundary.
752,read_lines_to_eof,Summarize Python: def read_lines_to_eof(self):,Internal: read lines until EOF.
753,read_lines_to_outerboundary,Summarize Python: def read_lines_to_outerboundary(self):,Internal: read lines until outerboundary. Data is read as bytes: boundaries and line ends must be converted to bytes for comparisons.
754,skip_lines,Summarize Python: def skip_lines(self):,Internal: skip lines until outer boundary if defined.
755,make_file,Summarize Python: def make_file(self):,Overridable: return a readable & writable file.
756,exists,Summarize Python: def exists(path):,Test whether a path exists.  Returns False for broken symbolic links.
757,isfile,Summarize Python: def isfile(path):,Test whether a path is a regular file.
758,isdir,Summarize Python: def isdir(s):,Return true if the pathname refers to an existing directory.
759,islink,Summarize Python: def islink(path):,Test whether a path is a symbolic link.
760,getsize,Summarize Python: def getsize(filename):,"Return the size of a file, reported by os.stat()."
761,getmtime,Summarize Python: def getmtime(filename):,"Return the last modification time of a file, reported by os.stat()."
762,getatime,Summarize Python: def getatime(filename):,"Return the last access time of a file, reported by os.stat()."
763,getctime,Summarize Python: def getctime(filename):,"Return the metadata change time of a file, reported by os.stat()."
764,commonprefix,Summarize Python: def commonprefix(m):,"Given a list of pathnames, returns the longest common leading component."
765,samestat,"Summarize Python: def samestat(s1, s2):",Test whether two stat buffers reference the same file.
766,samefile,"Summarize Python: def samefile(f1, f2):",Test whether two pathnames reference the same actual file or directory.
767,sameopenfile,"Summarize Python: def sameopenfile(fp1, fp2):",Test whether two open file objects reference the same file.
768,getname,Summarize Python: def getname(self):,Return the name (ID) of the current chunk.
769,seek,"Summarize Python: def seek(self, pos, whence=0):","Seek to specified position into the chunk. Default position is 0 (start of chunk). If the file is not seekable, this will result in an error."
770,read,"Summarize Python: def read(self, size=-1):","Read at most size bytes from the chunk. If size is omitted or negative, read until the end of the chunk."
771,skip,Summarize Python: def skip(self):,"Skip the rest of the chunk. If you are not interested in the contents of the chunk, this method should be called so that the file points to the start of the next chunk."
772,get_close_matches,"Summarize Python: def get_close_matches(word, possibilities, n=3, cutoff=0.6):","Use SequenceMatcher to return list of the best ""good enough"" matches."
773,IS_LINE_JUNK,"Summarize Python: def IS_LINE_JUNK(line, pat=re.compile('\\s*(?:#\\s*)?$').match):",Return True for ignorable line: iff `line` is blank or contains a single '#'.
774,IS_CHARACTER_JUNK,"Summarize Python: def IS_CHARACTER_JUNK(ch, ws=' \t'):",Return True for ignorable character: iff `ch` is a space or tab.
775,unified_diff,"Summarize Python: def unified_diff(a, b, fromfile='', tofile='', fromfiledate='', tofiledate='', n=3, lineterm='\n'):",Compare two sequences of lines; generate the delta as a unified diff.
776,context_diff,"Summarize Python: def context_diff(a, b, fromfile='', tofile='', fromfiledate='', tofiledate='', n=3, lineterm='\n'):",Compare two sequences of lines; generate the delta as a context diff.
777,diff_bytes,"Summarize Python: def diff_bytes(dfunc, a, b, fromfile=b'', tofile=b'', fromfiledate=b'', tofiledate=b'', n=3, lineterm=b'\n'):","Compare `a` and `b`, two sequences of lines represented as bytes rather than str."
778,ndiff,"Summarize Python: def ndiff(a, b, linejunk=None, charjunk=IS_CHARACTER_JUNK):",Compare `a` and `b` (lists of strings); return a `Differ`-style delta.
779,restore,"Summarize Python: def restore(delta, which):",Generate one of the two sequences that generated a delta.
780,set_seqs,"Summarize Python: def set_seqs(self, a, b):",Set the two sequences to be compared.
781,set_seq1,"Summarize Python: def set_seq1(self, a):",Set the first sequence to be compared.
782,set_seq2,"Summarize Python: def set_seq2(self, b):",Set the second sequence to be compared.
783,find_longest_match,"Summarize Python: def find_longest_match(self, alo=0, ahi=None, blo=0, bhi=None):",Find longest matching block in a[alo:ahi] and b[blo:bhi].
784,get_matching_blocks,Summarize Python: def get_matching_blocks(self):,Return list of triples describing matching subsequences.
785,get_opcodes,Summarize Python: def get_opcodes(self):,Return list of 5-tuples describing how to turn a into b.
786,get_grouped_opcodes,"Summarize Python: def get_grouped_opcodes(self, n=3):",Isolate change clusters by eliminating ranges with no changes.
787,ratio,Summarize Python: def ratio(self):,"Return a measure of the sequences' similarity (float in [0,1])."
788,quick_ratio,Summarize Python: def quick_ratio(self):,Return an upper bound on ratio() relatively quickly.
789,real_quick_ratio,Summarize Python: def real_quick_ratio(self):,Return an upper bound on ratio() very quickly.
790,compare,"Summarize Python: def compare(self, a, b):",Compare two sequences of lines; generate the resulting delta.
791,make_file,"Summarize Python: def make_file(self, fromlines, tolines, fromdesc='', todesc='', context=False, numlines=5, *, charset='utf-8'):",Returns HTML file of side by side comparison with change highlights.
792,make_table,"Summarize Python: def make_table(self, fromlines, tolines, fromdesc='', todesc='', context=False, numlines=5):",Returns HTML table of side by side comparison with change highlights.
793,encode,"Summarize Python: def encode(in_file, out_file, name=None, mode=None, *, backtick=False):",Uuencode file.
794,decode,"Summarize Python: def decode(in_file, out_file=None, mode=None, quiet=False):",Decode uuencoded file.
795,test,Summarize Python: def test():,uuencode/uudecode main program.
796,seed,"Summarize Python: def seed(self, a=None, version=2):",Initialize internal state from a seed.
797,getstate,Summarize Python: def getstate(self):,Return internal state; can be passed to setstate() later.
798,setstate,"Summarize Python: def setstate(self, state):",Restore internal state from object returned by getstate().
799,randbytes,"Summarize Python: def randbytes(self, n):",Generate n random bytes.
800,randrange,"Summarize Python: def randrange(self, start, stop=None, step=_ONE):","Choose a random item from range(stop) or range(start, stop[, step])."
801,randint,"Summarize Python: def randint(self, a, b):","Return random integer in range [a, b], including both end points."
802,choice,"Summarize Python: def choice(self, seq):",Choose a random element from a non-empty sequence.
803,shuffle,"Summarize Python: def shuffle(self, x):","Shuffle list x in place, and return None."
804,sample,"Summarize Python: def sample(self, population, k, *, counts=None):",Chooses k unique random elements from a population sequence.
805,choices,"Summarize Python: def choices(self, population, weights=None, *, cum_weights=None, k=1):",Return a k sized list of population elements chosen with replacement.
806,uniform,"Summarize Python: def uniform(self, a, b):","Get a random number in the range [a, b) or [a, b] depending on rounding."
807,triangular,"Summarize Python: def triangular(self, low=0.0, high=1.0, mode=None):",Triangular distribution.
808,normalvariate,"Summarize Python: def normalvariate(self, mu=0.0, sigma=1.0):",Normal distribution.
809,gauss,"Summarize Python: def gauss(self, mu=0.0, sigma=1.0):",Gaussian distribution.
810,lognormvariate,"Summarize Python: def lognormvariate(self, mu, sigma):",Log normal distribution.
811,expovariate,"Summarize Python: def expovariate(self, lambd=1.0):",Exponential distribution.
812,vonmisesvariate,"Summarize Python: def vonmisesvariate(self, mu, kappa):",Circular data distribution.
813,gammavariate,"Summarize Python: def gammavariate(self, alpha, beta):",Gamma distribution.  Not the gamma function!.
814,betavariate,"Summarize Python: def betavariate(self, alpha, beta):",Beta distribution.
815,paretovariate,"Summarize Python: def paretovariate(self, alpha):",Pareto distribution.  alpha is the shape parameter.
816,weibullvariate,"Summarize Python: def weibullvariate(self, alpha, beta):",Weibull distribution.
817,binomialvariate,"Summarize Python: def binomialvariate(self, n=1, p=0.5):",Binomial random variable.
818,random,Summarize Python: def random(self):,Get the next random number in the range 0.0 <= X < 1.0.
819,getrandbits,"Summarize Python: def getrandbits(self, k):",getrandbits(k) -> x.  Generates an int with k random bits.
820,seed,"Summarize Python: def seed(self, *args, **kwds):",Stub method.  Not used for a system random number generator.
821,S_IMODE,Summarize Python: def S_IMODE(mode):,Return the portion of the file's mode that can be set by os.chmod().
822,S_IFMT,Summarize Python: def S_IFMT(mode):,Return the portion of the file's mode that describes the file type.
823,S_ISDIR,Summarize Python: def S_ISDIR(mode):,Return True if mode is from a directory.
824,S_ISCHR,Summarize Python: def S_ISCHR(mode):,Return True if mode is from a character special device file.
825,S_ISBLK,Summarize Python: def S_ISBLK(mode):,Return True if mode is from a block special device file.
826,S_ISREG,Summarize Python: def S_ISREG(mode):,Return True if mode is from a regular file.
827,S_ISFIFO,Summarize Python: def S_ISFIFO(mode):,Return True if mode is from a FIFO (named pipe).
828,S_ISLNK,Summarize Python: def S_ISLNK(mode):,Return True if mode is from a symbolic link.
829,S_ISSOCK,Summarize Python: def S_ISSOCK(mode):,Return True if mode is from a socket.
830,S_ISDOOR,Summarize Python: def S_ISDOOR(mode):,Return True if mode is from a door.
831,S_ISPORT,Summarize Python: def S_ISPORT(mode):,Return True if mode is from an event port.
832,S_ISWHT,Summarize Python: def S_ISWHT(mode):,Return True if mode is from a whiteout.
833,filemode,Summarize Python: def filemode(mode):,Convert a file's mode to a string of the form '-rwxrwxrwx'.
834,openpty,Summarize Python: def openpty():,"openpty() -> (master_fd, slave_fd) Open a pty master/slave pair, using os.openpty() if possible."
835,master_open,Summarize Python: def master_open():,"master_open() -> (master_fd, slave_name) Open a pty master and return the fd, and the filename of the slave end. Deprecated, use openpty() instead."
836,slave_open,Summarize Python: def slave_open(tty_name):,"slave_open(tty_name) -> slave_fd Open the pty slave and acquire the controlling terminal, returning opened filedescriptor. Deprecated, use openpty() instead."
837,fork,Summarize Python: def fork():,"fork() -> (pid, master_fd) Fork and make the child a session leader with a controlling terminal."
838,spawn,"Summarize Python: def spawn(argv, master_read=_read, stdin_read=_read):",Create a spawned process.
839,pprint,"Summarize Python: def pprint(object, stream=None, indent=1, width=80, depth=None, *, compact=False, sort_dicts=True, underscore_numbers=False):",Pretty-print a Python object to a stream [default is sys.stdout].
840,pformat,"Summarize Python: def pformat(object, indent=1, width=80, depth=None, *, compact=False, sort_dicts=True, underscore_numbers=False):",Format a Python object into a pretty-printed representation.
841,pp,"Summarize Python: def pp(object, *args, sort_dicts=False, **kwargs):",Pretty-print a Python object.
842,saferepr,Summarize Python: def saferepr(object):,Version of repr() which can handle recursive data structures.
843,isreadable,Summarize Python: def isreadable(object):,Determine if saferepr(object) is readable by eval().
844,isrecursive,Summarize Python: def isrecursive(object):,Determine if object requires a recursive representation.
845,format,"Summarize Python: def format(self, object, context, maxlevels, level):","Format object for a specific context, returning a string and flags indicating whether the representation is 'readable' and whether the object represents a recursive construct."
846,getcaps,Summarize Python: def getcaps():,Return a dictionary containing the mailcap database.
847,listmailcapfiles,Summarize Python: def listmailcapfiles():,Return a list of all mailcap files found on the system.
848,readmailcapfile,Summarize Python: def readmailcapfile(fp):,Read a mailcap file and return a dictionary keyed by MIME type.
849,parseline,Summarize Python: def parseline(line):,Parse one entry in a mailcap file and return a dictionary.
850,parsefield,"Summarize Python: def parsefield(line, i, n):",Separate one key-value pair in a mailcap entry.
851,findmatch,"Summarize Python: def findmatch(caps, MIMEtype, key='view', filename='/dev/null', plist=[]):",Find a match for a mailcap entry.
852,authenticators,"Summarize Python: def authenticators(self, host):","Return a (user, account, password) tuple for given host."
853,Internaldate2tuple,Summarize Python: def Internaldate2tuple(resp):,Parse an IMAP4 INTERNALDATE string.
854,Int2AP,Summarize Python: def Int2AP(num):,Convert integer to A-P string representation.
855,ParseFlags,Summarize Python: def ParseFlags(resp):,Convert IMAP4 flags response to python tuple.
856,Time2Internaldate,Summarize Python: def Time2Internaldate(date_time):,Convert date_time to IMAP4 INTERNALDATE representation.
857,open,"Summarize Python: def open(self, host='', port=IMAP4_PORT, timeout=None):","Setup connection to remote server on ""host:port""     (default: localhost:standard IMAP4 port). This connection will be used by the routines:     read, readline, send, shutdown."
858,read,"Summarize Python: def read(self, size):",Read 'size' bytes from remote.
859,readline,Summarize Python: def readline(self):,Read line from remote.
860,send,"Summarize Python: def send(self, data):",Send data to remote.
861,shutdown,Summarize Python: def shutdown(self):,"Close I/O established in ""open""."
862,socket,Summarize Python: def socket(self):,Return socket instance used to connect to IMAP4 server.
863,recent,Summarize Python: def recent(self):,"Return most recent 'RECENT' responses if any exist, else prompt server for an update using the 'NOOP' command."
864,response,"Summarize Python: def response(self, code):","Return data for response 'code' if received, or None."
865,append,"Summarize Python: def append(self, mailbox, flags, date_time, message):",Append message to named mailbox.
866,authenticate,"Summarize Python: def authenticate(self, mechanism, authobject):",Authenticate command - requires response processing.
867,capability,Summarize Python: def capability(self):,"(typ, [data]) = <instance>.capability() Fetch capabilities list from server."
868,check,Summarize Python: def check(self):,Checkpoint mailbox on server.
869,close,Summarize Python: def close(self):,Close currently selected mailbox.
870,copy,"Summarize Python: def copy(self, message_set, new_mailbox):",Copy 'message_set' messages onto end of 'new_mailbox'.
871,create,"Summarize Python: def create(self, mailbox):",Create new mailbox.
872,delete,"Summarize Python: def delete(self, mailbox):",Delete old mailbox.
873,deleteacl,"Summarize Python: def deleteacl(self, mailbox, who):",Delete the ACLs (remove any rights) set for who on mailbox.
874,enable,"Summarize Python: def enable(self, capability):",Send an RFC5161 enable string to the server.
875,expunge,Summarize Python: def expunge(self):,Permanently remove deleted items from selected mailbox.
876,fetch,"Summarize Python: def fetch(self, message_set, message_parts):",Fetch (parts of) messages.
877,getacl,"Summarize Python: def getacl(self, mailbox):",Get the ACLs for a mailbox.
878,getannotation,"Summarize Python: def getannotation(self, mailbox, entry, attribute):","(typ, [data]) = <instance>.getannotation(mailbox, entry, attribute) Retrieve ANNOTATIONs."
879,getquota,"Summarize Python: def getquota(self, root):",Get the quota root's resource usage and limits.
880,getquotaroot,"Summarize Python: def getquotaroot(self, mailbox):",Get the list of quota roots for the named mailbox.
881,list,"Summarize Python: def list(self, directory='""""', pattern='*'):",List mailbox names in directory matching pattern.
882,login,"Summarize Python: def login(self, user, password):",Identify client using plaintext password.
883,login_cram_md5,"Summarize Python: def login_cram_md5(self, user, password):",Force use of CRAM-MD5 authentication.
884,logout,Summarize Python: def logout(self):,Shutdown connection to server.
885,lsub,"Summarize Python: def lsub(self, directory='""""', pattern='*'):",List 'subscribed' mailbox names in directory matching pattern.
